日期,宠主ID,宠主姓名,宠物类型,服务项目,消费金额,医生,客户来源
2025-10-10,C01761,客户1761,猫,绝育,475,王医生,新客户
2025-10-10,C00616,客户616,猫,体检,184,张医生,老客户
2025-10-10,C01544,客户1544,猫,疫苗,105,王医生,新客户
2025-10-10,C01059,客户1059,狗,看病,605,李医生,老客户
2025-10-10,C01771,客户1771,猫,绝育,454,李医生,新客户
2025-10-10,C01010,客户1010,猫,看病,509,李医生,老客户
2025-10-10,C01524,客户1524,猫,体检,305,王医生,新客户
2025-10-10,C01344,客户1344,狗,疫苗,149,李医生,老客户
2025-10-10,C02489,客户2489,狗,疫苗,98,陈医生,老客户
2025-10-10,C00923,客户923,猫,绝育,397,李医生,老客户
2025-10-10,C01016,客户1016,猫,体检,156,王医生,老客户
2025-10-10,C01057,客户1057,狗,疫苗,107,王医生,新客户
2025-10-10,C02161,客户2161,狗,疫苗,114,张医生,老客户
2025-10-10,C01734,客户1734,猫,看病,794,李医生,老客户
2025-10-10,C02130,客户2130,其他,绝育,541,刘医生,新客户
2025-10-10,C03640,客户3640,猫,疫苗,108,李医生,老客户
2025-10-10,C01737,客户1737,猫,体检,260,李医生,老客户
2025-10-10,C03835,客户3835,猫,洗护,239,王医生,新客户
2025-10-10,C00931,客户931,狗,看病,711,王医生,老客户
2025-10-10,C01748,客户1748,狗,疫苗,104,张医生,老客户
2025-10-10,C01084,客户1084,狗,疫苗,115,张医生,老客户
2025-10-10,C01487,客户1487,猫,看病,778,王医生,新客户
2025-10-10,C02232,客户2232,猫,体检,263,李医生,老客户
2025-10-10,C00766,客户766,狗,洗护,142,王医生,老客户
2025-10-10,C01232,客户1232,狗,绝育,408,王医生,新客户
2025-10-10,C03240,客户3240,猫,绝育,362,李医生,老客户
2025-10-10,C00766,客户766,狗,看病,452,刘医生,老客户
2025-10-10,C02386,客户2386,狗,疫苗,110,刘医生,老客户
2025-10-10,C01142,客户1142,狗,疫苗,96,王医生,老客户
2025-10-10,C01951,客户1951,猫,绝育,300,刘医生,老客户
2025-10-10,C02213,客户2213,猫,洗护,229,王医生,老客户
2025-10-10,C01961,客户1961,其他,疫苗,83,李医生,新客户
2025-10-10,C01101,客户1101,狗,疫苗,97,王医生,老客户
2025-10-10,C01190,客户1190,猫,体检,190,张医生,老客户
2025-10-10,C01822,客户1822,猫,绝育,373,张医生,老客户
2025-10-10,C01607,客户1607,猫,看病,517,张医生,新客户
2025-10-10,C01642,客户1642,狗,体检,236,王医生,老客户
2025-10-10,C01141,客户1141,狗,洗护,161,李医生,老客户
2025-10-10,C01136,客户1136,猫,洗护,164,刘医生,老客户
2025-10-10,C00760,客户760,其他,看病,672,王医生,新客户
2025-10-10,C02682,客户2682,狗,看病,599,王医生,新客户
2025-10-10,C02228,客户2228,猫,疫苗,98,张医生,老客户
2025-10-10,C01400,客户1400,猫,疫苗,138,陈医生,新客户
2025-10-10,C01935,客户1935,狗,体检,266,李医生,老客户
2025-10-10,C01405,客户1405,狗,绝育,418,张医生,老客户
2025-10-10,C01119,客户1119,狗,体检,342,张医生,新客户
2025-10-10,C01458,客户1458,狗,洗护,110,刘医生,老客户
2025-10-10,C01217,客户1217,猫,看病,773,王医生,新客户
2025-10-10,C00850,客户850,其他,绝育,482,刘医生,老客户
2025-10-10,C02445,客户2445,猫,洗护,129,李医生,新客户
2025-10-10,C00754,客户754,猫,疫苗,144,张医生,老客户
2025-10-10,C02377,客户2377,猫,体检,321,李医生,老客户
2025-10-10,C00739,客户739,猫,体检,221,张医生,新客户
2025-10-10,C01231,客户1231,狗,疫苗,105,李医生,老客户
2025-10-10,C00846,客户846,狗,看病,320,张医生,新客户
2025-10-10,C00881,客户881,猫,看病,785,李医生,老客户
2025-10-10,C01645,客户1645,猫,看病,335,刘医生,新客户
2025-10-10,C02376,客户2376,猫,疫苗,103,张医生,老客户
2025-10-10,C01422,客户1422,猫,洗护,106,李医生,老客户
2025-10-10,C02944,客户2944,猫,疫苗,86,张医生,老客户
2025-10-10,C01091,客户1091,狗,洗护,213,刘医生,老客户
2025-10-10,C01418,客户1418,猫,看病,792,王医生,老客户
2025-10-10,C02922,客户2922,狗,疫苗,111,李医生,老客户
2025-10-10,C01258,客户1258,狗,看病,705,李医生,老客户
2025-10-10,C00804,客户804,狗,洗护,248,李医生,老客户
2025-10-10,C01169,客户1169,狗,看病,634,李医生,老客户
2025-10-10,C02747,客户2747,狗,疫苗,125,李医生,老客户
2025-10-10,C02409,客户2409,狗,绝育,327,王医生,老客户
2025-10-10,C01250,客户1250,狗,洗护,156,陈医生,老客户
2025-10-10,C01584,客户1584,狗,疫苗,140,张医生,新客户
2025-10-10,C01473,客户1473,猫,看病,428,王医生,新客户
2025-10-10,C02853,客户2853,狗,体检,206,王医生,老客户
2025-10-10,C01188,客户1188,狗,看病,335,张医生,老客户
2025-10-10,C02412,客户2412,猫,看病,795,王医生,老客户
2025-10-10,C00885,客户885,猫,看病,574,王医生,老客户
2025-10-10,C02467,客户2467,狗,看病,518,刘医生,老客户
2025-10-11,C01306,客户1306,其他,绝育,411,张医生,老客户
2025-10-11,C00846,客户846,猫,体检,226,张医生,新客户
2025-10-11,C00791,客户791,猫,体检,251,王医生,老客户
2025-10-11,C00667,客户667,狗,绝育,467,刘医生,老客户
2025-10-11,C01886,客户1886,猫,疫苗,140,张医生,老客户
2025-10-11,C01886,客户1886,猫,疫苗,81,李医生,老客户
2025-10-11,C01704,客户1704,猫,洗护,201,李医生,老客户
2025-10-11,C01742,客户1742,猫,体检,293,王医生,老客户
2025-10-11,C02424,客户2424,狗,疫苗,126,王医生,老客户
2025-10-11,C01742,客户1742,猫,绝育,472,刘医生,老客户
2025-10-11,C01892,客户1892,狗,疫苗,85,王医生,新客户
2025-10-11,C00633,客户633,狗,绝育,466,陈医生,新客户
2025-10-11,C02087,客户2087,猫,看病,734,李医生,老客户
2025-10-11,C02046,客户2046,猫,绝育,531,陈医生,老客户
2025-10-11,C02256,客户2256,其他,疫苗,143,张医生,老客户
2025-10-11,C02686,客户2686,狗,疫苗,93,陈医生,老客户
2025-10-11,C01330,客户1330,狗,看病,778,李医生,老客户
2025-10-11,C01007,客户1007,狗,绝育,481,李医生,老客户
2025-10-11,C00760,客户760,猫,疫苗,100,李医生,老客户
2025-10-11,C02708,客户2708,其他,体检,157,王医生,老客户
2025-10-11,C01324,客户1324,其他,看病,761,李医生,新客户
2025-10-11,C01627,客户1627,其他,体检,151,陈医生,老客户
2025-10-11,C00974,客户974,猫,疫苗,148,王医生,老客户
2025-10-11,C02198,客户2198,狗,体检,232,李医生,老客户
2025-10-11,C01908,客户1908,猫,看病,693,王医生,老客户
2025-10-11,C02514,客户2514,狗,绝育,533,王医生,老客户
2025-10-11,C00833,客户833,狗,疫苗,88,王医生,老客户
2025-10-11,C02698,客户2698,猫,体检,297,李医生,老客户
2025-10-11,C01144,客户1144,猫,绝育,454,张医生,新客户
2025-10-11,C03003,客户3003,猫,疫苗,146,陈医生,新客户
2025-10-11,C01687,客户1687,猫,绝育,359,李医生,老客户
2025-10-11,C01144,客户1144,猫,疫苗,124,李医生,老客户
2025-10-11,C02109,客户2109,狗,绝育,364,张医生,新客户
2025-10-11,C02293,客户2293,狗,绝育,322,刘医生,老客户
2025-10-11,C01018,客户1018,猫,疫苗,124,王医生,新客户
2025-10-11,C01329,客户1329,猫,洗护,171,张医生,老客户
2025-10-11,C01155,客户1155,猫,体检,177,刘医生,老客户
2025-10-11,C01212,客户1212,狗,绝育,438,张医生,老客户
2025-10-11,C03063,客户3063,狗,洗护,200,王医生,新客户
2025-10-11,C01308,客户1308,猫,洗护,106,王医生,老客户
2025-10-11,C01901,客户1901,其他,疫苗,123,王医生,老客户
2025-10-11,C02400,客户2400,猫,绝育,364,张医生,老客户
2025-10-11,C02568,客户2568,猫,疫苗,117,张医生,新客户
2025-10-11,C02190,客户2190,狗,绝育,318,王医生,新客户
2025-10-11,C02027,客户2027,狗,疫苗,84,陈医生,老客户
2025-10-11,C02497,客户2497,狗,疫苗,103,王医生,老客户
2025-10-11,C02316,客户2316,狗,疫苗,86,王医生,新客户
2025-10-11,C00874,客户874,猫,洗护,115,李医生,老客户
2025-10-11,C00607,客户607,狗,疫苗,83,刘医生,老客户
2025-10-11,C01101,客户1101,猫,疫苗,94,张医生,老客户
2025-10-11,C01967,客户1967,猫,绝育,524,张医生,老客户
2025-10-11,C02487,客户2487,其他,绝育,502,张医生,老客户
2025-10-11,C01771,客户1771,狗,体检,210,王医生,老客户
2025-10-11,C01062,客户1062,猫,看病,754,王医生,老客户
2025-10-11,C01383,客户1383,狗,看病,480,王医生,老客户
2025-10-11,C02347,客户2347,其他,疫苗,123,李医生,老客户
2025-10-11,C01095,客户1095,猫,疫苗,131,张医生,新客户
2025-10-11,C02006,客户2006,猫,体检,202,张医生,老客户
2025-10-11,C01280,客户1280,猫,体检,211,李医生,老客户
2025-10-11,C01478,客户1478,猫,疫苗,144,王医生,老客户
2025-10-11,C01806,客户1806,猫,绝育,418,李医生,老客户
2025-10-11,C01801,客户1801,狗,绝育,519,刘医生,新客户
2025-10-11,C01274,客户1274,狗,疫苗,110,王医生,老客户
2025-10-11,C00700,客户700,其他,体检,308,刘医生,新客户
2025-10-11,C01800,客户1800,猫,洗护,209,李医生,老客户
2025-10-11,C01483,客户1483,猫,看病,224,张医生,老客户
2025-10-11,C01995,客户1995,其他,疫苗,131,刘医生,新客户
2025-10-11,C01269,客户1269,猫,看病,202,刘医生,新客户
2025-10-11,C01799,客户1799,狗,疫苗,111,张医生,老客户
2025-10-11,C00736,客户736,猫,看病,266,王医生,老客户
2025-10-11,C01360,客户1360,猫,疫苗,126,张医生,老客户
2025-10-11,C02251,客户2251,其他,看病,447,李医生,老客户
2025-10-11,C01755,客户1755,狗,体检,287,张医生,老客户
2025-10-11,C02230,客户2230,其他,体检,221,张医生,老客户
2025-10-11,C03682,客户3682,狗,绝育,502,张医生,老客户
2025-10-11,C01403,客户1403,狗,体检,264,李医生,新客户
2025-10-11,C02627,客户2627,狗,看病,288,陈医生,新客户
2025-10-11,C01462,客户1462,猫,洗护,141,李医生,老客户
2025-10-11,C00741,客户741,狗,疫苗,108,刘医生,老客户
2025-10-11,C01840,客户1840,猫,洗护,142,李医生,老客户
2025-10-11,C02151,客户2151,猫,看病,685,李医生,老客户
2025-10-11,C01294,客户1294,狗,体检,190,张医生,老客户
2025-10-11,C00741,客户741,猫,疫苗,117,李医生,新客户
2025-10-11,C01295,客户1295,狗,绝育,524,王医生,新客户
2025-10-11,C00673,客户673,狗,看病,244,王医生,新客户
2025-10-11,C02677,客户2677,其他,疫苗,89,李医生,老客户
2025-10-11,C01467,客户1467,狗,绝育,442,李医生,老客户
2025-10-12,C01108,客户1108,猫,疫苗,107,张医生,老客户
2025-10-12,C01377,客户1377,狗,疫苗,121,李医生,新客户
2025-10-12,C02471,客户2471,狗,洗护,245,陈医生,老客户
2025-10-12,C02425,客户2425,狗,疫苗,106,张医生,老客户
2025-10-12,C02322,客户2322,狗,看病,793,王医生,老客户
2025-10-12,C01436,客户1436,猫,疫苗,91,李医生,新客户
2025-10-12,C01458,客户1458,狗,体检,170,张医生,新客户
2025-10-12,C01176,客户1176,狗,看病,324,王医生,老客户
2025-10-12,C01351,客户1351,狗,疫苗,116,陈医生,老客户
2025-10-12,C01353,客户1353,猫,疫苗,143,陈医生,老客户
2025-10-12,C01466,客户1466,猫,体检,347,张医生,老客户
2025-10-12,C01272,客户1272,狗,洗护,204,李医生,新客户
2025-10-12,C00996,客户996,狗,绝育,359,王医生,新客户
2025-10-12,C01162,客户1162,猫,洗护,242,王医生,新客户
2025-10-12,C01335,客户1335,猫,绝育,510,张医生,老客户
2025-10-12,C01491,客户1491,狗,疫苗,128,王医生,新客户
2025-10-12,C01401,客户1401,猫,看病,515,刘医生,老客户
2025-10-12,C01090,客户1090,猫,洗护,102,王医生,老客户
2025-10-12,C01089,客户1089,其他,疫苗,121,刘医生,老客户
2025-10-12,C01489,客户1489,猫,体检,250,张医生,老客户
2025-10-12,C02327,客户2327,猫,看病,751,陈医生,老客户
2025-10-12,C02181,客户2181,猫,疫苗,120,刘医生,老客户
2025-10-12,C01064,客户1064,狗,绝育,530,李医生,老客户
2025-10-12,C01508,客户1508,猫,疫苗,88,陈医生,老客户
2025-10-12,C02187,客户2187,狗,绝育,467,李医生,新客户
2025-10-12,C02528,客户2528,狗,绝育,311,陈医生,新客户
2025-10-12,C01018,客户1018,狗,绝育,438,李医生,新客户
2025-10-12,C01053,客户1053,其他,洗护,192,陈医生,老客户
2025-10-12,C02184,客户2184,猫,疫苗,146,李医生,老客户
2025-10-12,C01451,客户1451,狗,疫苗,86,张医生,新客户
2025-10-12,C02132,客户2132,狗,疫苗,110,刘医生,新客户
2025-10-12,C02252,客户2252,猫,疫苗,109,刘医生,老客户
2025-10-12,C01016,客户1016,猫,绝育,362,张医生,老客户
2025-10-12,C02396,客户2396,其他,绝育,314,刘医生,新客户
2025-10-12,C01025,客户1025,其他,疫苗,131,李医生,老客户
2025-10-12,C01289,客户1289,狗,疫苗,122,张医生,老客户
2025-10-12,C02466,客户2466,其他,洗护,187,王医生,老客户
2025-10-12,C02263,客户2263,狗,看病,601,张医生,老客户
2025-10-12,C01524,客户1524,猫,疫苗,136,李医生,老客户
2025-10-12,C02250,客户2250,猫,疫苗,149,张医生,新客户
2025-10-12,C01194,客户1194,猫,绝育,554,张医生,老客户
2025-10-12,C01469,客户1469,狗,疫苗,94,陈医生,老客户
2025-10-12,C02351,客户2351,猫,疫苗,111,张医生,老客户
2025-10-12,C02194,客户2194,猫,看病,388,王医生,老客户
2025-10-12,C02285,客户2285,猫,体检,212,李医生,老客户
2025-10-12,C01340,客户1340,狗,洗护,205,张医生,老客户
2025-10-12,C01111,客户1111,狗,看病,289,王医生,老客户
2025-10-12,C01043,客户1043,猫,绝育,438,李医生,新客户
2025-10-12,C01291,客户1291,狗,疫苗,104,陈医生,新客户
2025-10-12,C02242,客户2242,猫,疫苗,113,王医生,老客户
2025-10-12,C01045,客户1045,狗,洗护,120,王医生,新客户
2025-10-12,C02513,客户2513,狗,洗护,125,李医生,老客户
2025-10-12,C01534,客户1534,狗,疫苗,149,王医生,老客户
2025-10-12,C02571,客户2571,其他,洗护,114,李医生,老客户
2025-10-12,C00821,客户821,其他,洗护,116,张医生,老客户
2025-10-12,C02759,客户2759,狗,洗护,183,陈医生,老客户
2025-10-12,C00825,客户825,猫,洗护,249,李医生,新客户
2025-10-12,C00827,客户827,其他,疫苗,123,陈医生,新客户
2025-10-12,C02086,客户2086,其他,洗护,195,王医生,新客户
2025-10-12,C00833,客户833,猫,体检,319,李医生,老客户
2025-10-12,C00857,客户857,猫,体检,215,张医生,老客户
2025-10-12,C00862,客户862,猫,洗护,231,王医生,老客户
2025-10-12,C00890,客户890,狗,看病,245,刘医生,新客户
2025-10-12,C02651,客户2651,其他,体检,152,陈医生,新客户
2025-10-12,C00907,客户907,猫,绝育,350,李医生,老客户
2025-10-12,C00911,客户911,狗,看病,578,刘医生,老客户
2025-10-12,C01575,客户1575,狗,绝育,404,王医生,老客户
2025-10-12,C02636,客户2636,狗,疫苗,101,陈医生,老客户
2025-10-12,C02029,客户2029,狗,体检,225,王医生,老客户
2025-10-12,C00948,客户948,狗,疫苗,97,刘医生,老客户
2025-10-12,C00950,客户950,猫,疫苗,144,张医生,老客户
2025-10-12,C02599,客户2599,猫,看病,382,李医生,老客户
2025-10-12,C00961,客户961,猫,疫苗,97,陈医生,老客户
2025-10-12,C02054,客户2054,狗,绝育,425,王医生,老客户
2025-10-12,C00969,客户969,猫,绝育,394,王医生,新客户
2025-10-12,C00814,客户814,狗,疫苗,109,陈医生,新客户
2025-10-12,C02059,客户2059,狗,看病,347,李医生,老客户
2025-10-12,C01896,客户1896,狗,疫苗,108,刘医生,老客户
2025-10-12,C02935,客户2935,狗,洗护,195,李医生,新客户
2025-10-12,C00634,客户634,狗,看病,757,陈医生,老客户
2025-10-12,C01692,客户1692,其他,洗护,152,张医生,新客户
2025-10-12,C00625,客户625,猫,体检,300,王医生,老客户
2025-10-12,C01682,客户1682,猫,体检,190,陈医生,老客户
2025-10-12,C03835,客户3835,狗,绝育,538,李医生,老客户
2025-10-12,C00661,客户661,狗,疫苗,118,李医生,老客户
2025-10-12,C00618,客户618,猫,体检,329,陈医生,老客户
2025-10-12,C03675,客户3675,狗,体检,199,张医生,新客户
2025-10-12,C01667,客户1667,狗,疫苗,89,张医生,老客户
2025-10-12,C00703,客户703,狗,洗护,197,张医生,老客户
2025-10-12,C00707,客户707,其他,绝育,467,李医生,老客户
2025-10-12,C03389,客户3389,狗,绝育,515,王医生,新客户
2025-10-12,C00715,客户715,狗,疫苗,101,王医生,老客户
2025-10-12,C00717,客户717,其他,绝育,345,李医生,老客户
2025-10-12,C01647,客户1647,猫,疫苗,82,刘医生,老客户
2025-10-12,C03264,客户3264,狗,体检,249,张医生,新客户
2025-10-12,C01828,客户1828,猫,看病,426,李医生,新客户
2025-10-12,C03168,客户3168,狗,看病,536,王医生,老客户
2025-10-12,C00750,客户750,猫,看病,654,李医生,老客户
2025-10-12,C00754,客户754,狗,疫苗,131,李医生,老客户
2025-10-12,C01859,客户1859,狗,疫苗,118,李医生,新客户
2025-10-12,C00804,客户804,猫,体检,183,张医生,新客户
2025-10-12,C01544,客户1544,狗,疫苗,125,刘医生,老客户
2025-10-12,C01333,客户1333,狗,洗护,193,张医生,老客户
2025-10-12,C02584,客户2584,猫,疫苗,81,刘医生,新客户
2025-10-12,C00981,客户981,猫,绝育,567,王医生,新客户
2025-10-13,C01133,客户1133,猫,看病,264,张医生,老客户
2025-10-13,C01264,客户1264,猫,绝育,357,王医生,老客户
2025-10-13,C01356,客户1356,狗,体检,296,张医生,新客户
2025-10-13,C02548,客户2548,狗,疫苗,89,王医生,老客户
2025-10-13,C01049,客户1049,猫,看病,768,王医生,新客户
2025-10-13,C00711,客户711,猫,洗护,114,张医生,老客户
2025-10-13,C01489,客户1489,猫,疫苗,145,李医生,老客户
2025-10-13,C02564,客户2564,猫,绝育,407,陈医生,老客户
2025-10-13,C00823,客户823,狗,疫苗,105,陈医生,新客户
2025-10-13,C00940,客户940,猫,看病,672,王医生,老客户
2025-10-13,C02645,客户2645,狗,看病,414,王医生,老客户
2025-10-13,C01754,客户1754,狗,疫苗,82,王医生,老客户
2025-10-13,C02073,客户2073,狗,看病,501,王医生,老客户
2025-10-13,C01994,客户1994,其他,绝育,542,李医生,新客户
2025-10-13,C00747,客户747,狗,体检,224,王医生,老客户
2025-10-13,C01041,客户1041,猫,体检,256,张医生,老客户
2025-10-13,C00718,客户718,狗,看病,756,王医生,新客户
2025-10-13,C01080,客户1080,狗,看病,600,李医生,老客户
2025-10-13,C00617,客户617,狗,看病,797,陈医生,老客户
2025-10-13,C00993,客户993,猫,疫苗,94,陈医生,新客户
2025-10-13,C01579,客户1579,狗,看病,715,王医生,老客户
2025-10-13,C00862,客户862,狗,疫苗,113,王医生,新客户
2025-10-13,C02397,客户2397,猫,看病,272,张医生,新客户
2025-10-13,C01064,客户1064,猫,看病,764,李医生,新客户
2025-10-13,C00709,客户709,狗,绝育,405,李医生,新客户
2025-10-13,C01683,客户1683,狗,疫苗,149,张医生,老客户
2025-10-13,C01840,客户1840,狗,体检,267,王医生,老客户
2025-10-13,C01504,客户1504,狗,疫苗,129,张医生,老客户
2025-10-13,C01362,客户1362,其他,洗护,100,陈医生,老客户
2025-10-13,C01192,客户1192,狗,看病,310,张医生,新客户
2025-10-13,C00739,客户739,猫,体检,237,刘医生,老客户
2025-10-13,C00606,客户606,狗,体检,245,李医生,老客户
2025-10-13,C01936,客户1936,其他,疫苗,150,王医生,新客户
2025-10-13,C01305,客户1305,其他,洗护,174,陈医生,新客户
2025-10-13,C01352,客户1352,猫,体检,228,李医生,新客户
2025-10-13,C01065,客户1065,狗,绝育,430,刘医生,老客户
2025-10-13,C00856,客户856,狗,绝育,427,张医生,老客户
2025-10-13,C00606,客户606,猫,体检,267,陈医生,老客户
2025-10-13,C01129,客户1129,狗,绝育,584,王医生,老客户
2025-10-13,C01496,客户1496,猫,疫苗,120,李医生,老客户
2025-10-13,C01224,客户1224,猫,看病,284,刘医生,老客户
2025-10-13,C00918,客户918,猫,疫苗,96,李医生,老客户
2025-10-13,C01184,客户1184,其他,绝育,536,李医生,新客户
2025-10-13,C01626,客户1626,猫,疫苗,131,王医生,老客户
2025-10-13,C01503,客户1503,猫,疫苗,130,李医生,新客户
2025-10-13,C01298,客户1298,狗,洗护,147,李医生,老客户
2025-10-13,C00787,客户787,猫,看病,586,王医生,老客户
2025-10-13,C00676,客户676,猫,看病,578,张医生,老客户
2025-10-13,C02683,客户2683,狗,疫苗,120,李医生,老客户
2025-10-13,C01349,客户1349,猫,体检,270,李医生,新客户
2025-10-13,C02171,客户2171,猫,疫苗,106,张医生,新客户
2025-10-13,C02192,客户2192,狗,疫苗,106,陈医生,老客户
2025-10-13,C01225,客户1225,猫,看病,639,陈医生,老客户
2025-10-13,C01353,客户1353,猫,疫苗,142,陈医生,老客户
2025-10-13,C01005,客户1005,狗,洗护,203,李医生,新客户
2025-10-13,C03831,客户3831,其他,洗护,206,张医生,老客户
2025-10-13,C01072,客户1072,狗,洗护,187,王医生,老客户
2025-10-13,C01054,客户1054,猫,看病,290,李医生,新客户
2025-10-13,C00936,客户936,猫,洗护,139,陈医生,老客户
2025-10-13,C01223,客户1223,狗,看病,588,张医生,老客户
2025-10-13,C02348,客户2348,猫,疫苗,131,张医生,老客户
2025-10-13,C02011,客户2011,狗,绝育,353,王医生,老客户
2025-10-13,C00729,客户729,狗,看病,686,李医生,老客户
2025-10-13,C01008,客户1008,其他,看病,310,李医生,新客户
2025-10-13,C02549,客户2549,狗,看病,423,李医生,老客户
2025-10-13,C02277,客户2277,猫,体检,293,李医生,老客户
2025-10-13,C02053,客户2053,狗,体检,190,张医生,老客户
2025-10-13,C01385,客户1385,猫,体检,267,王医生,老客户
2025-10-13,C01543,客户1543,猫,体检,205,李医生,老客户
2025-10-13,C01008,客户1008,猫,体检,188,王医生,老客户
2025-10-13,C01212,客户1212,其他,绝育,539,陈医生,老客户
2025-10-13,C01445,客户1445,狗,疫苗,93,李医生,老客户
2025-10-13,C00772,客户772,猫,看病,455,陈医生,老客户
2025-10-13,C00736,客户736,猫,看病,761,李医生,老客户
2025-10-13,C01838,客户1838,狗,疫苗,124,李医生,老客户
2025-10-13,C00964,客户964,猫,体检,201,李医生,老客户
2025-10-13,C00636,客户636,狗,绝育,487,李医生,老客户
2025-10-13,C01704,客户1704,猫,疫苗,92,王医生,老客户
2025-10-13,C02125,客户2125,猫,疫苗,132,刘医生,老客户
2025-10-13,C01170,客户1170,其他,绝育,422,张医生,老客户
2025-10-13,C01213,客户1213,猫,体检,225,李医生,老客户
2025-10-13,C01144,客户1144,狗,绝育,380,王医生,老客户
2025-10-13,C00884,客户884,狗,看病,505,刘医生,新客户
2025-10-13,C01551,客户1551,其他,洗护,244,王医生,老客户
2025-10-13,C01988,客户1988,狗,洗护,165,刘医生,新客户
2025-10-13,C01396,客户1396,狗,疫苗,113,刘医生,老客户
2025-10-13,C02064,客户2064,狗,疫苗,99,王医生,老客户
2025-10-13,C02333,客户2333,狗,洗护,174,李医生,新客户
2025-10-13,C01893,客户1893,猫,绝育,572,陈医生,新客户
2025-10-13,C00810,客户810,猫,看病,381,王医生,老客户
2025-10-13,C02173,客户2173,狗,疫苗,87,李医生,老客户
2025-10-13,C01327,客户1327,狗,洗护,124,王医生,老客户
2025-10-13,C02098,客户2098,猫,看病,377,张医生,老客户
2025-10-13,C03487,客户3487,猫,疫苗,135,李医生,老客户
2025-10-13,C01339,客户1339,猫,看病,321,李医生,老客户
2025-10-13,C01330,客户1330,猫,看病,422,李医生,新客户
2025-10-13,C01145,客户1145,其他,洗护,113,李医生,老客户
2025-10-13,C01013,客户1013,狗,洗护,156,王医生,老客户
2025-10-13,C01786,客户1786,猫,疫苗,118,陈医生,老客户
2025-10-13,C01092,客户1092,狗,体检,333,李医生,新客户
2025-10-13,C02658,客户2658,猫,看病,269,张医生,老客户
2025-10-13,C01890,客户1890,猫,绝育,533,张医生,老客户
2025-10-13,C01790,客户1790,狗,看病,422,陈医生,老客户
2025-10-13,C01244,客户1244,狗,绝育,493,李医生,老客户
2025-10-14,C01169,客户1169,狗,洗护,180,刘医生,老客户
2025-10-14,C01591,客户1591,其他,疫苗,117,张医生,新客户
2025-10-14,C03259,客户3259,狗,疫苗,95,张医生,老客户
2025-10-14,C01393,客户1393,狗,看病,742,刘医生,老客户
2025-10-14,C01422,客户1422,其他,绝育,437,李医生,老客户
2025-10-14,C02001,客户2001,狗,疫苗,96,王医生,老客户
2025-10-14,C01750,客户1750,猫,体检,211,陈医生,老客户
2025-10-14,C00873,客户873,猫,体检,212,王医生,老客户
2025-10-14,C00884,客户884,狗,疫苗,98,王医生,老客户
2025-10-14,C01491,客户1491,狗,看病,374,张医生,老客户
2025-10-14,C00912,客户912,狗,绝育,518,王医生,新客户
2025-10-14,C01290,客户1290,狗,洗护,233,陈医生,新客户
2025-10-14,C02673,客户2673,猫,体检,268,张医生,老客户
2025-10-14,C02342,客户2342,狗,体检,295,张医生,老客户
2025-10-14,C00792,客户792,狗,看病,458,李医生,老客户
2025-10-14,C02209,客户2209,猫,疫苗,116,陈医生,老客户
2025-10-14,C00685,客户685,狗,绝育,357,王医生,新客户
2025-10-14,C02210,客户2210,猫,体检,240,李医生,新客户
2025-10-14,C00995,客户995,狗,绝育,311,张医生,老客户
2025-10-14,C01466,客户1466,狗,体检,346,陈医生,新客户
2025-10-14,C02205,客户2205,猫,看病,695,张医生,老客户
2025-10-14,C01481,客户1481,猫,洗护,113,陈医生,新客户
2025-10-14,C00686,客户686,狗,绝育,332,王医生,老客户
2025-10-14,C01230,客户1230,狗,疫苗,138,王医生,新客户
2025-10-14,C01393,客户1393,猫,绝育,413,李医生,老客户
2025-10-14,C02318,客户2318,狗,疫苗,92,刘医生,老客户
2025-10-14,C01945,客户1945,狗,疫苗,106,李医生,老客户
2025-10-14,C01238,客户1238,猫,看病,278,李医生,老客户
2025-10-14,C02470,客户2470,狗,疫苗,130,王医生,新客户
2025-10-14,C01879,客户1879,猫,疫苗,122,王医生,新客户
2025-10-14,C02549,客户2549,狗,疫苗,141,刘医生,新客户
2025-10-14,C01753,客户1753,其他,疫苗,150,陈医生,老客户
2025-10-14,C02566,客户2566,猫,洗护,151,刘医生,老客户
2025-10-14,C01286,客户1286,猫,疫苗,95,刘医生,老客户
2025-10-14,C02107,客户2107,猫,疫苗,125,李医生,老客户
2025-10-14,C01265,客户1265,猫,体检,175,张医生,新客户
2025-10-14,C00905,客户905,狗,绝育,302,刘医生,老客户
2025-10-14,C01306,客户1306,狗,疫苗,102,陈医生,老客户
2025-10-14,C00874,客户874,猫,看病,518,王医生,新客户
2025-10-14,C02579,客户2579,猫,疫苗,106,李医生,老客户
2025-10-14,C01814,客户1814,狗,看病,800,陈医生,老客户
2025-10-14,C00948,客户948,狗,绝育,373,李医生,老客户
2025-10-14,C00631,客户631,其他,绝育,305,李医生,新客户
2025-10-14,C01545,客户1545,猫,疫苗,87,张医生,新客户
2025-10-14,C00654,客户654,猫,疫苗,99,王医生,老客户
2025-10-14,C02292,客户2292,猫,疫苗,141,张医生,新客户
2025-10-14,C02607,客户2607,狗,洗护,244,王医生,老客户
2025-10-14,C01035,客户1035,狗,疫苗,90,王医生,老客户
2025-10-14,C03949,客户3949,狗,疫苗,91,陈医生,老客户
2025-10-14,C01303,客户1303,猫,绝育,573,张医生,老客户
2025-10-14,C01341,客户1341,其他,看病,742,王医生,老客户
